source,source_url,published_at,symbol,related_symbols,title,summary,quality_flag,event_type,sentiment,impact_score,confidence
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-03-25 00:00:00,000630,000630,沪银主连价格下跌触发商品冲击,"沪银主连(AG0) 2026-03-25 收盘 1.811e+04; 1日涨跌 6.01%, 5日涨跌 -9.35%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,negative,-0.7483483483483484,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-03-26 00:00:00,000630,000630,沪银主连价格下跌触发商品冲击,"沪银主连(AG0) 2026-03-26 收盘 1.747e+04; 1日涨跌 -3.53%, 5日涨跌 -2.85%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,negative,-0.28225940036441965,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-03-30 00:00:00,000630,000630,沪银主连价格上涨触发商品冲击,"沪银主连(AG0) 2026-03-30 收盘 1.771e+04; 1日涨跌 1.25%, 5日涨跌 14.90%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,positive,0.85,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-03-31 00:00:00,000630,000630,沪银主连价格上涨触发商品冲击,"沪银主连(AG0) 2026-03-31 收盘 1.813e+04; 1日涨跌 2.37%, 5日涨跌 6.09%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,positive,0.48744512730465317,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-04-01 00:00:00,000630,000630,沪银主连价格上涨触发商品冲击,"沪银主连(AG0) 2026-04-01 收盘 1.892e+04; 1日涨跌 4.37%, 5日涨跌 4.46%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,positive,0.3564684445916839,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-04-02 00:00:00,000630,000630,沪银主连价格下跌触发商品冲击,"沪银主连(AG0) 2026-04-02 收盘 1.762e+04; 1日涨跌 -6.86%, 5日涨跌 0.85%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,negative,-0.5484723543714978,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-04-08 00:00:00,000630,000630,沪银主连价格上涨触发商品冲击,"沪银主连(AG0) 2026-04-08 收盘 1.899e+04; 1日涨跌 6.03%, 5日涨跌 4.76%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,positive,0.4824659370113924,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-04-09 00:00:00,000630,000630,沪银主连价格下跌触发商品冲击,"沪银主连(AG0) 2026-04-09 收盘 1.822e+04; 1日涨跌 -4.02%, 5日涨跌 -3.66%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,negative,-0.3214661891721091,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-04-10 00:00:00,000630,000630,沪银主连价格上涨触发商品冲击,"沪银主连(AG0) 2026-04-10 收盘 1.858e+04; 1日涨跌 1.96%, 5日涨跌 5.46%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,positive,0.4367516032007259,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-04-14 00:00:00,000630,000630,沪银主连价格上涨触发商品冲击,"沪银主连(AG0) 2026-04-14 收盘 1.921e+04; 1日涨跌 4.24%, 5日涨跌 7.27%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,positive,0.5816394907303994,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-04-16 00:00:00,000630,000630,沪银主连价格上涨触发商品冲击,"沪银主连(AG0) 2026-04-16 收盘 1.992e+04; 1日涨跌 1.87%, 5日涨跌 9.33%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,positive,0.7462277091906717,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-04-20 00:00:00,000630,000630,沪银主连价格上涨触发商品冲击,"沪银主连(AG0) 2026-04-20 收盘 1.985e+04; 1日涨跌 1.45%, 5日涨跌 7.73%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,positive,0.6181561669108468,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-04-23 00:00:00,000630,000630,沪银主连价格下跌触发商品冲击,"沪银主连(AG0) 2026-04-23 收盘 1.897e+04; 1日涨跌 -3.16%, 5日涨跌 -4.81%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,negative,-0.38464240903387736,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-04-24 00:00:00,000630,000630,沪银主连价格下跌触发商品冲击,"沪银主连(AG0) 2026-04-24 收盘 1.844e+04; 1日涨跌 -2.77%, 5日涨跌 -5.76%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,negative,-0.46111394992335164,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-04-28 00:00:00,000630,000630,沪银主连价格下跌触发商品冲击,"沪银主连(AG0) 2026-04-28 收盘 1.807e+04; 1日涨跌 -4.00%, 5日涨跌 -8.06%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,negative,-0.6451941179463692,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-04-29 00:00:00,000630,000630,沪银主连价格下跌触发商品冲击,"沪银主连(AG0) 2026-04-29 收盘 1.81e+04; 1日涨跌 0.17%, 5日涨跌 -7.59%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,negative,-0.6073726130909831,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-05-06 00:00:00,000630,000630,沪银主连价格上涨触发商品冲击,"沪银主连(AG0) 2026-05-06 收盘 1.885e+04; 1日涨跌 3.95%, 5日涨跌 2.22%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,positive,0.31585332230493535,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-05-07 00:00:00,000630,000630,沪银主连价格上涨触发商品冲击,"沪银主连(AG0) 2026-05-07 收盘 1.949e+04; 1日涨跌 3.41%, 5日涨跌 3.58%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,positive,0.28607863974495196,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-05-08 00:00:00,000630,000630,沪银主连价格上涨触发商品冲击,"沪银主连(AG0) 2026-05-08 收盘 1.984e+04; 1日涨跌 1.78%, 5日涨跌 9.81%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,positive,0.7845915430595536,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-05-11 00:00:00,000630,000630,沪银主连价格上涨触发商品冲击,"沪银主连(AG0) 2026-05-11 收盘 1.993e+04; 1日涨跌 0.45%, 5日涨跌 10.11%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,positive,0.8088844687551795,0.7
akshare_futures_main_sina,https://vip.stock.finance.sina.com.cn/quotes_service/view/qihuohangqing.html,2026-05-12 00:00:00,000630,000630,沪银主连价格上涨触发商品冲击,"沪银主连(AG0) 2026-05-12 收盘 2.078e+04; 1日涨跌 4.27%, 5日涨跌 14.58%. 该事件按产业链映射进入相关股票的事件因子。",commodity_shock:silver:AG0,commodity_shock,positive,0.85,0.7
