date,cash,market_value,equity,daily_return,running_max,drawdown
2023-04-10,15772.905536564853,889457.5062693427,905230.4118059076,0.011116679473093471,1000000.0,-0.09476958819409242
2023-04-11,15772.905536564853,891918.3322911462,907691.237827711,0.0027184526610126714,1000000.0,-0.092308762172289
2023-04-12,15772.905536564853,906828.8883579244,922601.7938944893,0.0164269031641886,1000000.0,-0.07739820610551074
2023-04-13,15772.905536564853,904826.3046061659,920599.2101427307,-0.002170582980665192,1000000.0,-0.07940078985726928
2023-04-14,15772.905536564853,913286.5521479703,929059.4576845352,0.009189935694701168,1000000.0,-0.07094054231546476
2023-04-17,9589.123429310901,924181.9505961894,933771.0740255002,0.0050713830013717764,1000000.0,-0.06622892597449981
2023-04-18,9589.123429310901,922602.2507189696,932191.3741482805,-0.0016917421423322532,1000000.0,-0.06780862585171954
2023-04-19,9589.123429310901,932123.5997369946,941712.7231663055,0.01021394241791218,1000000.0,-0.0582872768336945
2023-04-20,9589.123429310901,927133.9733444806,936723.0967737915,-0.005298459147644818,1000000.0,-0.06327690322620849
2023-04-21,9589.123429310901,935723.9409172519,945313.0643465627,0.009170231418822006,1000000.0,-0.054686935653437296
2023-04-24,7796.415690579086,940822.4975093994,948618.9131999785,0.0034970942199989974,1000000.0,-0.051381086800021514
2023-04-25,7796.415690579086,935077.8143907057,942874.2300812848,-0.006055838692183735,1000000.0,-0.05712576991871521
2023-04-26,7796.415690579086,929773.4387558862,937569.8544464653,-0.005625750991584799,1000000.0,-0.062430145553534766
2023-04-27,7796.415690579086,928011.6812929162,935808.0969834953,-0.0018790679484997908,1000000.0,-0.06419190301650468
2023-04-28,7796.415690579086,918369.72596048,926166.1416510592,-0.010303346768975596,1000000.0,-0.07383385834894085
2023-05-01,9730.025795147481,914941.3859549473,924671.4117500948,-0.0016138895968488276,1000000.0,-0.07532858824990518
2023-05-02,9730.025795147481,909818.6462049156,919548.6720000631,-0.005540065027355046,1000000.0,-0.08045132799993693
2023-05-03,9730.025795147481,898374.9515598291,908104.9773549766,-0.012444903672359064,1000000.0,-0.09189502264502347
2023-05-04,9730.025795147481,915772.5672168059,925502.5930119534,0.019158154718687426,1000000.0,-0.07449740698804663
