date,holding_count,gross_weight,event_exposed_weight,risk_event_weight,weighted_event_impact,weighted_positive_events,weighted_negative_events,weighted_risk_events
2023-02-09,3,0.8989324813423134,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-10,3,0.9005623483078811,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-13,3,0.89661195405685,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-14,3,0.8966288796998769,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-15,3,0.8962451149518573,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-16,3,0.8946259130714361,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-17,3,0.8945808107797714,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-20,3,0.8945620106961156,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-21,3,0.8940682541992248,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-22,3,0.892766504664544,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-23,3,0.8940268405873842,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-24,3,0.8948873064328191,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-27,3,0.8951286505562996,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-28,3,0.8955254277459601,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,3,0.8951410959925448,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-02,3,0.8951453318159148,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-03,3,0.8955179756648756,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-06,3,0.8963910525727903,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-07,3,0.8961531805794114,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-08,3,0.8943628531173261,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-09,3,0.8950467272427662,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-10,3,0.8944894926243057,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-13,3,0.8964252308680365,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-14,3,0.8963061876298937,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-15,3,0.8960147754530476,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-16,3,0.8961534161730247,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-17,3,0.8953763511404008,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-20,3,0.894926209641552,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-21,3,0.8953251682095682,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-22,3,0.8947337040819681,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-23,3,0.8945224082798564,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-24,3,0.8940066440333476,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-27,3,0.893605396129221,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-28,3,0.8944918334985958,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-29,3,0.8947602623654076,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-30,3,0.894779314844814,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-31,3,0.8934811717264368,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-03,3,0.8967741361905122,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-04,3,0.8972678838032968,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-05,3,0.8965961210656141,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-06,3,0.8972319505062543,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-07,3,0.8982366468736825,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-10,3,0.8921308293405471,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-11,3,0.891614243119496,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-12,3,0.8894515251227391,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-13,3,0.8888560955265965,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-14,3,0.8876383180231704,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-17,3,0.897408723827964,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-18,3,0.8970837929571736,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-19,3,0.8971925403340864,0.0,0.0,0.0,0.0,0.0,0.0
