model_type,horizon_days,industry,rows,symbols,direction_accuracy,baseline_accuracy,auc,raw_auc,brier,raw_brier,calibrated_ece,raw_ece,probability_calibration_statuses,probability_calibration_methods,probability_calibration_ready_ratio,probability_calibration_pit_ratio,rank_ic,mean_forward_return,top_bucket_return,bottom_bucket_return,top_bottom_spread,slice_status,industry_source
factor_score,1,theme_proxy:power_solid_state_battery,68,2,0.5882352941176471,0.5882352941176471,0.45,0.45,0.24768918641530682,0.24768918641530682,0.01342670401493933,0.01342670401493933,,,0.0,0.0,-0.04199705604725758,0.004444382657925335,0.006941782359614724,0.006915388255046796,2.6394104567927998e-05,ok,curated_hot_theme_proxy_not_historical_industry
factor_score,1,theme_proxy:tourism_retail_services,34,1,0.5882352941176471,0.6470588235294118,0.4393939393939394,0.4393939393939394,0.2457797092911239,0.2457797092911239,0.11430905695611572,0.11430905695611572,,,0.0,0.0,-0.05841591241798727,0.004866462115219987,0.0046563013102725705,0.015080875762880225,-0.010424574452607655,data_sparse,curated_hot_theme_proxy_not_historical_industry
factor_score,1,theme_proxy:unmapped_theme,34,1,0.4411764705882353,0.5294117647058824,0.3767361111111111,0.3767361111111111,0.26847392030886436,0.26847392030886436,0.0667086834733894,0.0667086834733894,,,0.0,0.0,-0.05004611751827512,0.00033484683706432966,-0.005016629069805389,0.0017344056140865646,-0.006751034683891953,data_sparse,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:advanced_packaging_chiplet_pcb,3712,4,0.5455280172413793,0.568426724137931,0.5440749418676891,0.5522862417239115,0.2481079559719585,0.24763398503873743,0.06693250446972263,0.06934985648714452,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,0.3566810344827586,0.09316361045556226,0.015403094578611594,0.022308735997656315,-0.004858158389545797,0.02716689438720211,ok,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:agriculture_food_beverage,13920,15,0.4680316091954023,0.5382902298850575,0.46829965942384355,0.4539800136265348,0.25615751043424695,0.2573036692512292,0.04898853591390188,0.049208016832540176,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,0.3566810344827586,-0.05987758084694452,-0.001649230676981968,-0.0020640193854767393,0.0020934840476704154,-0.004157503433147155,weak_or_failed,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:ai_compute_semiconductor,5548,6,0.500901225666907,0.5124369142033165,0.4996453981403883,0.4884128933600249,0.25310548460670507,0.25448367691820156,0.01693647597651205,0.01893861556554581,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6174089068825911,0.3561643835616438,0.012564038127860175,0.002865649225967465,0.0011916154085922315,-0.0002158451887050101,0.0014074605972972415,ok,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:chemical_new_materials,7745,8,0.48702388637830857,0.5297611362169141,0.4824250963285727,0.4782379536918848,0.25470800372650665,0.2556046606307132,0.033073136537227044,0.03659865795040901,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6186152099886493,0.3412524209167205,-0.03351949685275742,0.006840054053744796,0.006834809240524656,0.005997631433734383,0.0008371778067902723,ok,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:coal_power_oil_gas,7158,7,0.49874266554903607,0.5283598770606315,0.49267439962556486,0.4854439979473736,0.2542625329181895,0.25562414226532415,0.02918148429720647,0.034639671469069905,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,0.32369376920927634,-0.008555435212473086,0.006235220886777508,0.007310720553499688,0.006594502937513014,0.0007162176159866739,ok,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:commercial_space_satellite_internet,3712,4,0.49595905172413796,0.5008081896551724,0.4988891717689094,0.49362881296543965,0.254326305494301,0.2550681652680145,0.01319591571702115,0.01740931809935771,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.6193353474320241,0.3566810344827586,0.0013533520433706657,0.003859045787733847,0.013735715294357872,0.006596178357076081,0.007139536937281791,ok,curated_hot_theme_proxy_not_historical_industry
factor_score,5,theme_proxy:consumer_electronics_pcb,15490,16,0.49903163331181405,0.5242091672046482,0.49470307998743407,0.4936557806578393,0.2543947566072136,0.25522552692166495,0.03137561475924753,0.034307480741235706,calibrated;calibration_failed;calibration_watch,identity;isotonic;platt,0.620506999621642,0.3412524209167205,0.00034816759669973284,0.005796008037671375,0.008560374313580572,0.0014718809712196783,0.0070884933423608935,ok,curated_hot_theme_proxy_not_historical_industry
