model_type,horizon_days,regime_source,market_regime,rows,symbols,direction_accuracy,baseline_accuracy,auc,raw_auc,brier,raw_brier,calibrated_ece,raw_ece,probability_calibration_statuses,probability_calibration_methods,probability_calibration_ready_ratio,probability_calibration_pit_ratio,rank_ic,mean_forward_return,top_bucket_return,bottom_bucket_return,top_bottom_spread,slice_status
ensemble,20,ex_post_oos_forward_return_for_evaluation_only,high_volatility,5319,20,0.4792254183117127,0.6627185561195713,0.5687850755473327,0.5687850755473327,0.28922127338708004,0.28922127338708004,0.2515549878158357,0.2515549878158357,,,0.0,0.0,0.11994086615293303,0.07674358221887963,0.11126073808701203,0.06421428505925283,0.0470464530277592,ok
ensemble,20,ex_post_oos_forward_return_for_evaluation_only,sideways_oos,6361,30,0.4404967772362836,0.6486401509196668,0.5366183887629167,0.5366183887629167,0.29054451809702103,0.29054451809702103,0.2344014629486469,0.2344014629486469,,,0.0,0.0,0.02978987842155994,0.02381866893009261,0.026703860275924276,0.02011768421993388,0.0065861760559903955,ok
ensemble,60,ex_post_oos_forward_return_for_evaluation_only,high_volatility,10,10,0.5,0.6,0.7083333333333334,0.7083333333333334,0.22780668542321986,0.22780668542321986,0.2824313840531771,0.2824313840531771,,,0.0,0.0,0.4787878787878787,0.03819761889944493,0.21578084053790111,-0.04082516030299505,0.2566060008408962,data_sparse
event_aware_ensemble,1,ex_post_oos_forward_return_for_evaluation_only,bearish_oos,15,3,0.4666666666666667,0.6666666666666666,0.48,0.48,0.2509272965774184,0.2509272965774184,0.20342874408585915,0.20342874408585915,,,0.0,0.0,0.175,0.0037933413354602017,0.008897591382099567,-0.012271785452888867,0.021169376834988436,data_sparse
event_aware_ensemble,1,ex_post_oos_forward_return_for_evaluation_only,bullish_oos,18,3,0.4444444444444444,0.5555555555555556,0.3625,0.3625,0.2755478485473872,0.2755478485473872,0.16291776568790184,0.16291776568790184,,,0.0,0.0,-0.06914344685242517,0.0014655306877124612,-0.0009281676532965255,-0.009383398302083647,0.008455230648787122,data_sparse
event_aware_ensemble,1,ex_post_oos_forward_return_for_evaluation_only,high_volatility,33,3,0.5151515151515151,0.5151515151515151,0.4227941176470588,0.4227941176470588,0.2660370031761339,0.2660370031761339,0.07137900817613436,0.07137900817613436,,,0.0,0.0,-0.27139037433155083,0.006091451487115978,0.00457482137661517,0.0137206560899881,-0.009145834713372929,data_sparse
event_aware_ensemble,1,ex_post_oos_forward_return_for_evaluation_only,sideways_oos,36,3,0.3888888888888889,0.6111111111111112,0.4512987012987013,0.4512987012987013,0.2760729458778572,0.2760729458778572,0.18883173688166388,0.18883173688166388,,,0.0,0.0,-0.04195624195624196,0.0004702438911520806,0.00111014709733645,0.011418575086674288,-0.010308427989337838,data_sparse
event_aware_ensemble,5,ex_post_oos_forward_return_for_evaluation_only,bearish_oos,21,3,0.6190476190476191,0.6190476190476191,0.6634615384615384,0.6634615384615384,0.22303262577505448,0.22303262577505448,0.08851337240724051,0.08851337240724051,,,0.0,0.0,0.448051948051948,0.018447265750394133,0.05014177751315304,0.013612158823815019,0.03652961868933802,data_sparse
event_aware_ensemble,5,ex_post_oos_forward_return_for_evaluation_only,bullish_oos,21,3,0.19047619047619047,0.5714285714285714,0.23148148148148148,0.23148148148148148,0.3054220593338659,0.3054220593338659,0.2048006062687525,0.2048006062687525,,,0.0,0.0,-0.2662337662337662,0.011760646612900685,0.005955816283908401,0.04075848348173796,-0.03480266719782956,data_sparse
event_aware_ensemble,5,ex_post_oos_forward_return_for_evaluation_only,high_volatility,15,3,0.4,0.7333333333333333,0.22727272727272727,0.22727272727272727,0.27267659820334555,0.27267659820334555,0.2943012056449677,0.2943012056449677,,,0.0,0.0,-0.09285714285714285,0.024578151073464727,0.018456801761445703,0.026975399196476,-0.008518597435030296,data_sparse
