source,source_url,published_at,symbol,related_symbols,title,summary,quality_flag,fetched_at,effective_date,announce_date,raw_hash
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224676499&orgId=gssz0000630&announcementTime=2025-09-24 00:00:00,2025-09-24 00:00:00,000630,000630,关于债券持有人持有可转债比例变动达到10%的公告,关于债券持有人持有可转债比例变动达到10%的公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,7624232848272762266
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224676498&orgId=gssz0000630&announcementTime=2025-09-24 00:00:00,2025-09-24 00:00:00,000630,000630,关于提前赎回铜陵定02的第十三次提示性公告,关于提前赎回铜陵定02的第十三次提示性公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,13450117045649288778
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224673511&orgId=gssz0000630&announcementTime=2025-09-23 00:00:00,2025-09-23 00:00:00,000630,000630,关于股份回购实施结果暨已回购股份处理完成的公告,关于股份回购实施结果暨已回购股份处理完成的公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,7068935352316431335
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224673085&orgId=gssz0000630&announcementTime=2025-09-23 00:00:00,2025-09-23 00:00:00,000630,000630,关于提前赎回铜陵定02的第十二次提示性公告,关于提前赎回铜陵定02的第十二次提示性公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,3954987760874261268
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224670086&orgId=gssz0000630&announcementTime=2025-09-20 00:00:00,2025-09-20 00:00:00,000630,000630,关于债券持有人持有可转债比例变动达到10%的公告,关于债券持有人持有可转债比例变动达到10%的公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,16682099051995150307
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224670085&orgId=gssz0000630&announcementTime=2025-09-20 00:00:00,2025-09-20 00:00:00,000630,000630,关于提前赎回铜陵定02的第十一次提示性公告,关于提前赎回铜陵定02的第十一次提示性公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,2470655493214609941
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224667505&orgId=gssz0000630&announcementTime=2025-09-19 00:00:00,2025-09-19 00:00:00,000630,000630,关于提前赎回铜陵定02的第十次提示性公告,关于提前赎回铜陵定02的第十次提示性公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,4645282599255613087
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224665445&orgId=gssz0000630&announcementTime=2025-09-18 00:00:00,2025-09-18 00:00:00,000630,000630,关于提前赎回铜陵定02的第九次提示性公告,关于提前赎回铜陵定02的第九次提示性公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,7731155818936923246
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224662698&orgId=gssz0000630&announcementTime=2025-09-17 00:00:00,2025-09-17 00:00:00,000630,000630,关于提前赎回铜陵定02的第八次提示性公告,关于提前赎回铜陵定02的第八次提示性公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,12813814950849901202
akshare,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000630&announcementId=1224660765&orgId=gssz0000630&announcementTime=2025-09-16 00:00:00,2025-09-16 00:00:00,000630,000630,关于债券持有人持有可转债比例变动达到10%的公告,关于债券持有人持有可转债比例变动达到10%的公告,raw_event,2026-06-12T17:08:40,2026-06-12 17:08:40,,12535779083784312734
