date,symbol,side,price,shares,gross_value,fee,tax,cost_basis,realized_pnl,slippage_rate,close
2020-03-30,600489,SELL,7.3199777192880005,1600,11711.9643508608,3.5135893052582396,11.7119643508608,11349.5760188928,347.162778311882,0.0008,7.17597166
2020-03-30,600362,SELL,10.943946672928,10200,111628.2560638656,33.48847681915968,111.6282560638656,108770.71182384959,2712.4275071329903,0.0008,10.90021982
2020-03-30,000630,SELL,1.725022457136,63100,108848.9170452816,32.65467511358448,108.84891704528161,117833.17149825119,-9125.75804512846,0.0008,1.73512279
2020-03-30,601600,SELL,2.699881435544,39700,107185.2929910968,32.155587897329035,107.1852929910968,114786.4718718792,-7740.519761670832,0.0008,2.69269344
2020-03-30,600547,BUY,23.936897750831996,4600,110109.72965382718,33.03291889614815,0.0,0.0,0.0,0.0008,23.79966828
2020-03-30,600988,BUY,8.45649198576,13100,110780.045013456,33.234013504036795,0.0,0.0,0.0,0.0008,8.41043112
2020-03-30,600219,BUY,1.6204960605599998,2700,4375.339363511999,1.3126018090535996,0.0,0.0,0.0,0.0008,1.61130216
2020-03-30,600497,BUY,3.0192259299839996,36800,111107.51422341118,33.33225426702335,0.0,0.0,0.0,0.0008,2.9996715
2020-04-07,600362,SELL,11.249887674167999,2500,28124.71918542,8.437415755625999,28.12471918542,26659.48819212,1428.668858358953,0.0008,11.51259172
2020-04-07,000630,SELL,1.7424469263999998,16000,27879.150822399995,8.363745246719997,27.879150822399996,29715.2790336504,-1872.3711073195227,0.0008,1.76999963
2020-04-07,601600,SELL,2.7279078864320003,10200,27824.660441606404,8.34739813248192,27.824660441606405,29289.624795460797,-1501.136412428481,0.0008,2.74879122
2020-04-07,600111,SELL,8.81562845072,300,2644.688535216,0.7934065605648,2.6446885352160003,2477.1800379023994,164.07040221781972,0.0008,8.88085816
2020-04-07,600547,BUY,25.028414726399998,1000,25028.4147264,7.508524417919999,0.0,0.0,0.0,0.0008,25.68224566
2020-04-07,600489,BUY,7.172889694775999,900,6455.600725298399,1.9366802175895195,0.0,0.0,0.0,0.0008,7.44925805
2020-04-07,600988,BUY,8.957981626776,2800,25082.3485549728,7.524704566491839,0.0,0.0,0.0,0.0008,9.0392484
2020-04-07,600497,BUY,3.0878447011199994,9300,28716.955720415994,8.615086716124797,0.0,0.0,0.0,0.0008,3.10251738
2020-04-13,600489,SELL,7.372829543976,600,4423.6977263856,1.3271093179156799,4.423697726385599,4256.0910070847995,161.85591225649932,0.0008,7.44925805
2020-04-13,600219,SELL,1.641582002944,85800,140847.73585259521,42.25432075577856,140.8477358525952,143055.81125447038,-2391.177458483522,0.0008,1.65079486
2020-04-13,601899,BUY,3.5439321994559996,40100,142111.68119818557,42.63350435945567,0.0,0.0,0.0,0.0008,3.576868
2020-04-13,600988,BUY,8.75148589224,300,2625.445767672,0.7876337303015999,0.0,0.0,0.0,0.0008,8.79361665
2020-04-13,600497,BUY,3.04495796916,600,1826.9747814959999,0.5480924344488,0.0,0.0,0.0,0.0008,3.02538297
2020-04-20,601899,SELL,3.645486635712,1400,5103.6812899968,1.53110438699904,5.1036812899968,4961.505079238399,135.54142508140558,0.0008,3.70205838
2020-04-20,600489,SELL,7.522576380592,500,3761.288190296,1.1283864570887998,3.761288190296,3546.7425059039997,209.6560097446154,0.0008,7.64320323
2020-04-20,600497,SELL,3.0572171980559997,46700,142772.0431492152,42.83161294476456,142.7720431492152,141651.4447253232,934.9947677979944,0.0008,3.05966493
2020-04-20,600111,SELL,8.796253443136,100,879.6253443136001,0.26388760329408,0.8796253443136001,825.7266793007998,52.75515206519265,0.0008,8.76451504
2020-04-20,600547,BUY,24.694702530047998,100,2469.4702530048,0.7408410759014399,0.0,0.0,0.0,0.0008,25.0431419
2020-04-20,600988,BUY,8.141831818847999,1100,8956.0150007328,2.6868045002198397,0.0,0.0,0.0,0.0008,8.2532268
2020-04-20,002460,BUY,29.736373802975997,4700,139760.9568739872,41.928287062196155,0.0,0.0,0.0,0.0008,29.73282096
2020-04-27,600547,SELL,25.751935756960002,200,5150.387151392,1.5451161454176,5.1503871513920005,4787.379550166399,356.31209792879145,0.0008,25.77950058
