date,symbol,shares,close,market_value,weight
2026-01-30,600362,15600,63.42,989352.0,0.173015618402183
2026-01-30,000878,39600,26.16723096,1036222.346016,0.1812121974768526
2026-01-30,600219,142000,7.1453799,1014643.9458,0.1774386161251183
2026-01-30,600497,92100,9.75174118,898135.362678,0.1570638611764095
2026-01-30,000960,21600,39.54392794,854148.8435040001,0.14937159915414736
2026-01-30,000831,17000,54.22,921740.0,0.1611917862459753
2026-02-02,601899,18900,36.61,691929.0,0.132960098678054
2026-02-02,600489,21000,33.21,697410.0,0.1340133198912918
2026-02-02,600362,3000,57.08,171240.0,0.032905236371983206
2026-02-02,000630,94500,7.38268224,697663.4716800001,0.1340620266510676
2026-02-02,000878,7400,23.55248126,174288.361324,0.03349100517549542
2026-02-02,600219,135600,6.47367525,877830.3639,0.168682642014912
2026-02-02,600497,99400,8.77855316,872588.184104,0.16767531215453002
2026-02-02,000960,23900,35.59152128,850637.3585920001,0.16345727254910772
2026-02-02,000831,3200,51.02,163264.0,0.03137257948514054
2026-02-03,601899,18900,38.81,733509.0,0.13702182397841217
2026-02-03,600489,21000,32.95,691950.0000000001,0.12925847004176133
2026-02-03,600362,3000,59.05,177150.0,0.033092185805185366
2026-02-03,000630,94500,7.77960064,735172.2604799999,0.13733252634841825
2026-02-03,000878,7400,24.36157362,180275.644788,0.033676066234683
2026-02-03,600219,135600,6.64890255,901591.1857799999,0.16842011312531277
2026-02-03,600497,99400,8.99702394,894304.179636,0.16705887710340606
2026-02-03,000960,23900,35.95895607,859419.050073,0.16054222348028013
2026-02-03,000831,3200,53.96,172672.0,0.03225568110275455
2026-02-04,601899,18900,39.16,740123.9999999999,0.13876450635673984
2026-02-04,600489,21000,31.56,662760.0,0.12425967031604557
2026-02-04,600362,3000,58.86,176580.0,0.03310666392722453
2026-02-04,000630,94500,7.60098736,718293.30552,0.13467150904420574
2026-02-04,000878,7400,24.08529818,178231.20653199998,0.03341624564502587
2026-02-04,600219,135600,6.70731165,909511.4597400001,0.1705226539561195
2026-02-04,600497,99400,8.99702394,894304.179636,0.16767146859169374
2026-02-04,000960,23900,36.62431096,875321.031944,0.16411235266169086
2026-02-04,000831,3200,53.55,171360.0,0.03212797559502319
2026-02-05,601899,18900,37.45,707805.0,0.13943523914890532
2026-02-05,600489,21000,29.92,628320.0,0.12377695758300689
2026-02-05,600362,3000,55.86,167580.0,0.03301270459600251
2026-02-05,000630,94500,7.13460824,674220.4786800001,0.13281919975676243
2026-02-05,000878,7400,22.694054,167935.9996,0.03308283533732662
2026-02-05,600219,135600,6.425001,871230.1356,0.17162944922841633
2026-02-05,600497,99400,8.62959581,857781.8235139999,0.1689801763187017
2026-02-05,000960,23900,34.76727567,830937.8885129999,0.16369201009133386
2026-02-05,000831,3200,51.01,163232.0,0.03215616300641294
2026-02-06,601899,18900,37.19,702891.0,0.13859624874896168
2026-02-06,600489,21000,29.55,620550.0,0.12236022677935578
2026-02-06,600362,3000,55.12,165360.0,0.032605732173449795
2026-02-06,000630,94500,7.05522456,666718.72092,0.13146378839708842
2026-02-06,000878,7400,22.30924178,165088.389172,0.03255217587257185
2026-02-06,600219,135600,6.5612889,889710.77484,0.1754334254733039
2026-02-06,600497,99400,8.64945679,859756.004926,0.16952693536001656
2026-02-06,000960,23900,34.67789964,828801.801396,0.16342337664000184
2026-02-06,000831,3200,51.7,165440.0,0.032621506596368734
2026-02-09,601899,5200,38.63,200876.0,0.03907000055313459
2026-02-09,600489,26900,30.18,811842.0,0.1579017273793678
2026-02-09,600988,16200,36.81870208,596462.9736960001,0.11601091575014946
2026-02-09,600362,900,55.46,49914.0,0.009708178217453354
2026-02-09,000630,112500,7.15445416,804876.093,0.1565468716955475
2026-02-09,000878,2200,22.4967144,49492.77168,0.009626250109091
2026-02-09,600219,128800,6.66837225,858886.3458,0.16705176330415653
2026-02-09,601168,18900,31.92583844,603398.346516,0.1173598325939416
2026-02-09,600497,28800,8.8381361,254538.31968,0.04950721983059971
2026-02-09,601958,30500,19.62,598410.0,0.11638960866903596
2026-02-09,000960,7100,35.52200659,252206.24678899997,0.04905363608171323
2026-02-09,000831,900,55.18,49662.0,0.009659164695980455
2026-02-10,601899,5200,38.81,201812.0,0.03937499418927331
2026-02-10,600489,26900,29.97,806193.0,0.1572941385568391
2026-02-10,600988,16200,36.47163648,590840.510976,0.11527729612940396
2026-02-10,600362,900,55.6,50040.0,0.009763169232906052
2026-02-10,000630,112500,7.05522456,793712.763,0.15485915322714736
2026-02-10,000878,2200,22.31910876,49102.039271999995,0.009580166248867606
2026-02-10,600219,128800,6.68784195,861394.04316,0.16806426497978139
2026-02-10,601168,18900,31.75639128,600195.795192,0.11710258036247236
2026-02-10,600497,28800,8.77855316,252822.33100799998,0.04932748208411061
2026-02-10,601958,30500,19.76,602680.0,0.11758726685227458
2026-02-10,000960,7100,36.00860942,255661.12688199998,0.049881351878985465
2026-02-10,000831,900,55.62,50058.0,0.009766681164284795
2026-02-11,601899,5200,39.48,205295.99999999997,0.03901770153513543
2026-02-11,600489,26900,30.67,825023.0,0.1568004304692836
2026-02-11,600988,16200,37.89956352,613972.9290240001,0.1166891342028648
2026-02-11,600362,900,56.47,50823.0,0.009659207413296842
2026-02-11,000630,112500,7.12468528,801527.0939999999,0.15233489656893678
2026-02-11,000878,2200,22.56578326,49644.723172,0.009435269033588177
2026-02-11,600219,128800,6.7754556,872678.68128,0.16585767049654462
2026-02-11,601168,18900,32.59471266,616040.069274,0.11708200625738978
2026-02-11,600497,28800,8.95730198,257970.297024,0.049028758739637746
2026-02-11,601958,30500,21.16,645380.0,0.12265823112357625
2026-02-11,000960,7100,36.82292436,261442.76295600002,0.0496887211321135
2026-02-11,000831,900,56.6,50940.0,0.009681443945326744
2026-02-12,601899,5200,39.75,206700.0,0.039098636424188565
2026-02-12,600489,26900,30.61,823409.0,0.15575311620418325
2026-02-12,600988,16200,37.929312,614454.8544000001,0.1162280936200451
2026-02-12,600362,900,56.59,50931.0,0.009633926713693022
2026-02-12,000630,112500,7.16437712,805992.426,0.152458659046075
2026-02-12,000878,2200,22.70392098,49948.626156,0.009448104373300237
2026-02-12,600219,128800,6.72678135,866409.4378800001,0.1638869260094616
2026-02-12,601168,18900,33.28333335,629055.000315,0.11898980526431546
2026-02-12,600497,28800,9.02681541,259972.28380799998,0.049175432051160886
2026-02-12,601958,30500,21.26,648430.0,0.12265471125561969
2026-02-12,000960,7100,37.736546,267929.4766,0.050680586322721516
